City,Year,Sport,Discipline,Event,Athlete,Gender,Country,Medal
Montreal,1976.0,Aquatics,Diving,3m springboard,"K�HLER, Christa",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",MEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Diving,3m springboard,"BOGGS, Philip George",MEN,United States,Gold
Montreal,1976.0,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",MEN,Italy,Silver
Montreal,1976.0,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",WOMEN,United States,Bronze
Montreal,1976.0,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",MEN,United States,Silver
Montreal,1976.0,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",WOMEN,Soviet Union,Gold
Montreal,1976.0,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",WOMEN,United States,Bronze
Montreal,1976.0,Aquatics,Diving,10m platform,"DIBIASI, Klaus",MEN,Italy,Gold
Montreal,1976.0,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",MEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",WOMEN,Sweden,Silver
Montreal,1976.0,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",WOMEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",WOMEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",MEN,Australia,Bronze
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",MEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"TH�MER, Petra",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",MEN,Canada,Silver
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",MEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",MEN,East Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",MEN,West Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",WOMEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",MEN,United Kingdom,Bronze
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",MEN,Canada,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",MEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",MEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",WOMEN,Soviet Union,Gold
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",WOMEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",MEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",MEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",MEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",MEN,United Kingdom,Bronze
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",MEN,United Kingdom,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",WOMEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",WOMEN,Canada,Silver
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",WOMEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",MEN,Canada,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"TH�MER, Petra",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",WOMEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",MEN,United Kingdom,Bronze
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",WOMEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",MEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,1500m freestyle,"GOODELL, Brian Stuart",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"PICKELL, Stephen",MEN,Canada,Silver
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"HARRIGAN, Daniel Lee",MEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"KOTHER-GABRIEL, Rosemarie",WOMEN,East Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"POLLACK, Andrea",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"MONTGOMERY, James Paul",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"YURCHENYA, Marina",WOMEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"TREIBER, Birgit",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"RUSANOVA, Lyubov",WOMEN,Soviet Union,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"BOGLIOLI, Wendy Lansbach",WOMEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"BRUNER, Michael Lee",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"BABASHOFF, Shirley Farber",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"TREIBER, Birgit",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"HENCKEN, John Frederick",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"BABASHOFF, Jack, Jr.",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"POLLACK, Andrea",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"BRIGITHA, Enith",WOMEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SIERING, Laura Gail",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"BABASHOFF, Shirley Farber",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"KOPLYAKOV, Sergei",MEN,Soviet Union,Silver
Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"COLELLA, Richard Phillip Jr.",MEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"NABER, John Phillips",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"BABASHOFF, Shirley Farber",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"GARAPICK, Nancy Ellen",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"STEINBACH, Klaus",MEN,West Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"STERKEL, Gillian Ann",WOMEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"NOCKE, Peter",MEN,West Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,200m butterfly,"FORRESTER, William Ronald, Jr.",MEN,United States,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"NOCKE, Peter",MEN,West Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"HENCKEN, John Frederick",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"ANKE, Hannelore",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"POLLACK, Andrea",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"KUSCH, Walter",MEN,West Germany,Bronze
Montreal,1976.0,Aquatics,Swimming,400m freestyle,"SMITH, Shannon",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"CORSIGLIA, Robin Marie",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,100m backstroke,"RICHTER, Ulrike",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,1500m freestyle,"HACKETT, Robert William",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"WILKIE, David Andrew",MEN,United Kingdom,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"BRINKLEY, Brian",MEN,United Kingdom,Bronze
Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"HENCKEN, John Frederick",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,200m freestyle,"NABER, John Phillips",MEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"FURNISS, Bruce Macfarlane",MEN,United States,Gold
Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"JEZEK, Linda Louise",WOMEN,United States,Silver
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"PRIEMER, Petra",WOMEN,East Germany,Silver
Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"JARDIN, Anne Elizabeth",WOMEN,Canada,Bronze
Montreal,1976.0,Aquatics,Swimming,200m backstroke,"RICHTER, Ulrike",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Swimming,100m freestyle,"ENDER, Kornelia",WOMEN,East Germany,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"DE ZWARTE, Pieter",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"VEER, Jan Evert",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"KROON, Evert Gerrit",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"HORKAI, Gyorgy",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"CASTAGNOLA, Luigi",MEN,Italy,Silver
Montreal,1976.0,Aquatics,Water polo,water polo,"SMITS, Hans",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"STROBOER, Gijsbert (Gijs)",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"CSAPO, Gabor",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"CSERVENYAK, Tibor",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"GERENDAS, Gyorgy",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"BUUNK, Antoon G.J.",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"SUDAR, Attila",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"KENEZ, Gyorgy",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"MOLNAR, Endre",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"BOEGSCHOTEN, Alexander",MEN,Netherlands,Bronze
Montreal,1976.0,Aquatics,Water polo,water polo,"SAROSI, Laszlo",MEN,Hungary,Gold
Montreal,1976.0,Aquatics,Water polo,water polo,"DEL DUCA, Marcello",MEN,Italy,Silver
Montreal,1976.0,Aquatics,Water polo,water polo,"SIMEONI, Roldano",MEN,Italy,Silver
Montreal,1976.0,Aquatics,Water polo,water polo,"ALBERANI SAMARITANI, Alberto",MEN,Italy,Silver
